"row" "condition" "age" "female" "hispanic" "lunch" "esollevel" "stanmath" "stanread" "learndis" "ability1" "ability2" "ability3" "ability4" "mathse"
"122" 1 14.36003 1 0 1 6 313 289 0 1.064029 2.61481 2.143643 3.411863 30
"124" 1 13.28405 1 0 1 6 300 275 0 -1.02803 0.583529 0.0225 2.096395 31
"125" 1 15.37851 0 0 1 6 237 276 0 -4.07785 -1.47627 NA -0.890334 32
"126" 1 13.08419 1 0 1 6 257 359 0 -0.466456 -0.372518 0.518528 -2.08483 14
"128" 1 13.88364 0 0 0 6 281 318 0 0.040053 0.583529 1.007718 2.096395 28
"129" 1 14.4449 0 0 1 6 265 288 1 -0.466456 0.102875 -0.521523 -1.43621 34
"130" 1 13.23477 0 0 1 6 281 341 0 0.040053 0.583529 0.518528 2.096395 23
"131" 1 14.80903 1 0 1 6 260 285 0 1.064029 0.583529 0.518528 1.226635 30
"132" 1 13.58522 0 0 0 6 280 294 0 0.535507 -0.372518 1.007718 1.226635 30
"133" 1 13.33333 0 0 0 6 292 334 0 -0.466456 2.61481 0.0225 3.411863 31
"134" 1 14.72416 0 0 1 5 265 301 0 -0.466456 -1.47627 -1.18336 -0.389125 29
"135" 1 14.25325 0 0 0 6 299 316 0 1.694322 1.104519 2.143643 2.096395 20
"137" 0 14.4668 1 1 1 5 319 336 0 1.064029 2.61481 1.528777 2.096395 27
"138" 0 13.2293 1 0 0 5 299 313 0 1.694322 3.946062 4.356252 3.411863 31
"139" 0 13.83162 0 1 0 6 303 297 0 0.040053 2.61481 3.027766 3.411863 30
"140" 0 13.67009 1 0 0 6 318 368 0 0.535507 1.104519 2.143643 1.226635 31
"141" 0 13.12799 1 0 0 5 338 330 0 1.064029 1.104519 2.143643 2.096395 33
"142" 0 13.77139 1 1 0 6 296 321 0 -0.466456 0.583529 -0.521523 0.10246 27
"145" 1 13.48939 0 1 1 5 369 397 0 2.609382 1.724337 2.143643 2.096395 32
"146" 1 14.79808 0 0 1 6 299 289 0 0.040053 NA 0.518528 3.411863 36
"147" 1 13.85352 1 1 1 4 303 329 0 2.609382 0.102875 1.007718 3.411863 29
"148" 1 13.8371 1 1 1 5 345 331 0 0.535507 2.61481 3.027766 2.096395 30
"149" 1 13.44011 1 1 1 6 286 230 0 -1.02803 0.583529 0.518528 2.096395 38
"150" 1 13.97399 0 0 1 5 307 327 0 -0.466456 1.724337 3.027766 2.096395 30
"151" 1 13.83984 1 1 0 6 325 300 0 3.972222 0.583529 0.518528 3.411863 29
"152" 1 13.30048 1 1 1 6 281 316 0 -1.02803 -0.372518 3.027766 1.226635 30
"153" 1 13.5332 1 0 0 6 337.3082 344.5786 0 1.064029 0.583529 3.027766 3.411863 30
"154" 1 14.49144 0 1 1 5 316 278 0 0.535507 2.61481 1.528777 0.10246 29
"155" 1 14.13826 1 1 1 6 305 296 1 -1.02803 -2.34077 -0.521523 0.620587 28
"156" 1 14.72416 1 0 0 6 311 323 0 1.064029 NA NA 0.10246 36
"158" 1 14.17659 0 1 1 6 294.4527 210.6374 1 -1.71029 NA NA 0.10246 35
"159" 0 13.81246 1 1 1 6 314 292 0 3.972222 1.724337 2.143643 0.620587 22
"160" 0 13.3525 1 1 1 5 325 330 0 3.972222 2.61481 1.007718 3.411863 25
"161" 1 14.52156 0 1 1 5 332 303 0 1.694322 -0.372518 1.528777 3.411863 28
"162" 1 13.53867 1 1 1 5 272 231 0 1.064029 1.724337 3.027766 0.10246 35
"163" 1 14.4011 1 1 1 5 296 308 0 0.535507 1.104519 NA 2.096395 27
"164" 1 13.33333 0 1 1 5 322 321 0 1.694322 0.102875 -1.18336 0.620587 37
"165" 1 13.88364 1 0 0 6 312 294 0 0.040053 0.583529 2.143643 3.411863 31
"166" 1 13.78782 0 0 1 6 314 358 0 -0.466456 1.724337 1.007718 3.411863 29
"167" 1 13.63176 1 1 1 5 259 283 0 -1.02803 0.583529 0.0225 0.10246 33
"168" 1 15.39493 0 1 1 5 254 243 0 -1.02803 0.102875 0.0225 0.10246 29
"169" 1 14.00684 1 1 1 5 273 256 0 0.040053 0.102875 -1.18336 -1.43621 29
"170" 1 13.295 1 0 1 6 299 259 0 2.609382 0.583529 2.143643 3.411863 28
"171" 0 15.77823 1 1 1 6 240 268 0 1.064029 1.104519 -1.18336 -0.890334 31
"172" 0 14.987 1 0 1 6 221 212 1 -1.02803 -0.372518 0.518528 -0.389125 37
"175" 0 13.11157 0 0 0 6 277 272 0 1.064029 1.104519 3.027766 2.096395 35
"176" 0 14.23409 1 0 1 5 238 227 1 -0.466456 0.583529 0.518528 -0.389125 30
"177" 0 14.41752 1 0 1 6 245 238 0 -0.466456 NA -2.15121 2.096395 30
"181" 0 13.35797 1 0 0 6 343 294 0 0.535507 NA 3.027766 0.620587 32
"182" 0 13.64819 1 1 1 5 322 335 0 1.064029 0.583529 2.143643 3.411863 29
"184" 0 13.99589 0 0 1 6 317 333 0 1.694322 2.61481 2.143643 2.096395 33
"185" 1 13.71663 1 0 1 6 306 294 0 -0.466456 0.583529 -1.18336 3.411863 29
"186" 1 14.10267 0 0 0 6 276 197 0 1.694322 1.104519 0.518528 1.226635 30
"188" 0 13.46475 1 1 1 5 338 324 0 2.609382 1.104519 1.528777 0.620587 33
"189" 0 13.97399 0 1 1 5 383 354 0 3.972222 2.61481 3.027766 0.620587 35
"190" 0 13.12799 1 1 1 5 327 321 0 1.694322 1.724337 0.0225 -0.389125 28
"192" 0 13.5989 0 1 0 5 311 296 0 0.040053 1.104519 1.528777 -3.00693 26
"193" 0 15.44422 0 1 0 5 346 367 1 1.694322 2.61481 3.027766 2.096395 37
"195" 0 14.43121 1 0 1 6 244 269 0 -1.02803 -2.34077 -1.18336 -3.00693 27
"196" 0 13.73854 1 1 1 5 298 303 0 2.609382 -2.34077 1.528777 -0.389125 23
"197" 0 13.68652 1 0 1 6 334 324 0 -0.466456 1.724337 1.528777 0.620587 35
"198" 0 13.82341 1 1 1 6 336 302 0 1.064029 NA NA -0.389125 26
"199" 0 12.84052 1 1 1 6 359 359 0 1.694322 1.104519 3.027766 -4.36156 33
"200" 0 14.67488 0 1 1 5 310 251 0 -0.466456 -2.34077 -3.56417 -0.890334 27
"201" 0 13.86448 0 1 1 5 284 272 0 0.535507 -0.372518 0.0225 -1.43621 30
"202" 0 13.22108 1 0 1 6 333 330 0 1.694322 0.102875 0.518528 0.620587 28
"203" 0 13.10062 1 1 1 5 290 285 0 2.609382 3.946062 2.143643 3.411863 32
"205" 0 13.3525 1 1 1 6 356 329 0 2.609382 1.104519 1.007718 0.620587 32
"206" 0 14.03696 1 1 0 6 363 340 0 2.609382 2.61481 3.027766 3.411863 29
"207" 0 13.34976 1 1 1 6 350 365 0 3.972222 1.104519 -0.521523 3.411863 29
"209" 1 14.03149 0 1 1 6 256 220 0 -1.71029 1.724337 0.518528 1.226635 27
"210" 1 14.95688 1 1 1 5 213 158 0 1.064029 0.102875 1.007718 2.096395 35
"211" 1 14.71869 0 1 1 6 286 289 0 -1.02803 -0.372518 2.143643 2.096395 31
"212" 1 15.03628 1 0 1 6 295 290 0 0.535507 1.724337 1.528777 3.411863 27
"233" 1 13.95756 1 1 1 5 318 315 0 2.609382 1.724337 NA 3.411863 33
"234" 1 14.57632 1 1 1 5 314 310 0 1.064029 1.104519 2.143643 3.411863 31
"235" 1 13.58522 0 1 1 5 310 324 0 1.694322 2.61481 3.027766 -0.389125 24
"236" 1 13.92471 0 1 1 5 328 344 0 0.040053 0.583529 NA 3.411863 27
"237" 0 13.70842 0 1 1 5 234 228 0 -1.02803 -3.65316 -3.56417 -1.43621 36
"239" 0 14.13005 1 0 1 6 270 275 0 1.064029 -0.372518 0.518528 -1.43621 30
"240" 0 13.44559 1 0 1 5 268 276 0 -0.466456 -0.372518 -1.18336 -0.389125 30
"242" 0 13.92197 1 1 1 5 176 225 0 -1.02803 -0.372518 -1.18336 -2.08483 23
"243" 0 13.72485 0 0 1 5 292 309 0 1.064029 1.104519 NA -3.00693 32
"245" 0 14.0178 1 1 1 5 206 206 0 -1.71029 0.102875 -0.521523 -0.890334 35
"246" 0 14.88296 0 0 1 6 274 272 0 -1.71029 -2.34077 -0.521523 -2.08483 29
"247" 0 13.63723 1 0 1 6 273 295 0 -1.02803 -1.47627 -2.15121 -1.43621 24
"248" 0 14.24504 1 0 1 6 100 279 0 -1.71029 -3.65316 -2.15121 -0.890334 34
"249" 1 14.6256 0 1 1 5 326 317 1 2.609382 0.102875 0.0225 -0.389125 34
"250" 0 13.55236 0 1 0 5 352 328 0 1.694322 2.61481 4.356252 3.411863 20
"251" 1 13.67009 0 1 1 5 353 341 0 -0.466456 1.724337 0.518528 1.226635 33
"256" 0 13.82341 0 1 0 6 250 286 0 -1.02803 -0.878592 -1.18336 -1.43621 31
"257" 0 14.78166 1 1 0 6 301 253 0 -0.466456 1.104519 -1.18336 0.10246 33
"258" 0 13.23751 0 1 1 5 205 238 0 -0.466456 -0.878592 0.0225 -1.43621 31
"259" 0 14.46954 1 0 1 6 225 266 0 -2.68322 -2.34077 -3.56417 -2.08483 25
"260" 0 13.31691 1 0 0 5 270 236 0 -2.68322 0.102875 -0.521523 -1.43621 32
"261" 0 13.72211 0 1 1 5 308 262 1 2.609382 3.946062 3.027766 1.226635 35
"262" 0 14.36824 1 1 0 5 362 349 0 1.064029 3.946062 3.027766 2.096395 35
"263" 0 13.25941 1 1 0 5 346 368 0 3.972222 3.946062 3.027766 3.411863 31
"264" 0 13.78508 1 0 1 5 298 335 0 0.535507 0.583529 0.0225 0.620587 29
"265" 0 13.79603 0 1 1 5 321 323 0 1.064029 1.724337 -0.521523 -0.389125 20
"266" 0 13.70021 1 1 0 6 361 321 0 0.040053 2.61481 0.518528 2.096395 30
"267" 0 13.68378 1 0 1 6 330 335 0 0.040053 2.61481 3.027766 2.096395 37
"269" 0 13.33333 0 1 0 5 320 339 0 0.535507 2.61481 1.528777 2.096395 32
"270" 0 12.89802 0 1 1 5 340 382 0 1.064029 1.724337 4.356252 3.411863 34
"271" 0 13.68378 1 0 0 6 341 326 0 1.694322 2.61481 3.027766 1.226635 32
"272" 1 16.04381 1 1 1 5 295 245 0 1.064029 1.104519 0.518528 1.226635 32
"274" 1 12.96099 0 1 1 5 180 216 0 -1.71029 -3.65316 -0.521523 -4.36156 33
"275" 1 14.94867 0 1 1 5 281 309 0 1.694322 1.104519 2.143643 2.096395 25
"276" 1 14.05065 1 0 1 6 310 345 0 3.972222 2.61481 2.143643 1.226635 30
"277" 1 14.99521 1 1 1 5 292 316 0 0.535507 -1.47627 2.143643 0.10246 26
"278" 1 13.30595 1 1 0 5 341 335 0 3.972222 3.946062 2.143643 1.226635 28
"279" 1 13.54689 1 1 1 6 382 500 0 2.609382 1.724337 NA 3.411863 29
"280" 1 13.72485 1 1 1 5 297 319 0 0.535507 -0.878592 -0.521523 2.096395 38
"281" 1 13.79329 1 0 1 5 294 312 0 -1.02803 -0.878592 2.143643 2.096395 30
"282" 0 13.1499 1 1 1 5 356 304 0 1.694322 3.946062 4.356252 3.411863 27
"283" 0 14.07255 0 1 1 6 343 364 0 1.694322 1.104519 2.143643 3.411863 26
"284" 0 14.14921 1 1 0 5 346 348 0 3.972222 1.104519 1.528777 1.226635 33
"285" 0 13.84805 1 1 0 5 313 323 0 -0.466456 0.583529 2.143643 2.096395 35
"286" 0 13.40726 1 1 0 5 318 330 0 3.972222 1.104519 2.143643 3.411863 27
"287" 0 13.91376 1 1 1 5 334 335 0 1.694322 1.104519 1.528777 0.10246 32
"288" 0 13.86995 1 0 0 6 324 432 0 0.535507 2.61481 1.528777 2.096395 30
"290" 0 15.5373 1 1 1 5 301 277 0 -4.07785 -1.47627 NA -0.389125 26
"292" 0 15.06639 1 1 1 5 295 366 0 0.535507 NA -1.18336 0.620587 30
"293" 0 13.42916 1 1 1 5 351 287 0 1.694322 1.724337 NA 3.411863 34
"294" 0 13.55236 1 1 0 5 296 253 0 0.040053 0.583529 -2.15121 1.226635 31
"295" 0 13.1499 0 1 0 5 293 276 1 -2.68322 -0.878592 -0.521523 -0.389125 30
"297" 0 13.61259 0 1 1 5 316 267 1 -0.466456 -0.878592 0.0225 2.096395 30
"298" 0 13.2512 0 1 1 5 370 320 0 0.535507 2.61481 0.0225 2.096395 22
"300" 0 13.90828 0 0 1 6 264 288 0 1.694322 NA 0.0225 2.096395 34
"301" 0 13.12252 1 0 1 6 328 306 0 0.535507 2.61481 1.528777 0.620587 28
"302" 0 13.41273 0 0 1 6 302 262 0 1.064029 -0.372518 0.518528 2.096395 36
"303" 0 13.62081 1 0 1 6 298 339 0 0.040053 NA 0.518528 -1.43621 30
"304" 0 13.3306 1 0 1 6 281 252 0 0.535507 1.104519 2.143643 0.620587 27
"305" 0 13.8152 0 0 1 6 337 308 0 2.609382 NA NA 3.411863 37
"306" 0 14.00411 1 0 1 6 309 294 0 2.609382 0.102875 1.007718 0.620587 36
"307" 0 14.57632 0 0 1 6 321 330 0 -1.02803 NA NA 2.096395 35
"309" 0 13.54415 1 0 1 6 334 302 0 1.694322 0.102875 1.007718 2.096395 40
"312" 0 13.65914 1 0 1 6 300.1338 292.1583 0 0.040053 0.102875 1.007718 2.096395 23
"313" 0 14.13552 1 0 1 6 255 260 0 -1.71029 -2.34077 -1.18336 2.096395 22
"314" 0 14.13552 1 0 1 6 176 175 0 -2.68322 -0.878592 0.518528 2.096395 18
"315" 0 13.45106 1 0 1 5 304 294 0 0.535507 1.104519 2.143643 2.096395 37
"316" 0 13.56057 1 0 1 6 277 281 0 0.040053 3.946062 0.0225 -0.890334 20
"317" 0 13.40726 1 0 1 6 265 290 0 -1.02803 1.724337 2.143643 3.411863 30
"318" 0 13.6345 1 0 0 6 340 361 0 2.609382 1.724337 3.027766 1.226635 20
"319" 0 13.74949 1 0 1 6 328 343 0 0.040053 1.104519 0.0225 3.411863 31
"324" 0 13.41547 1 0 1 6 277.9614 261.8799 0 0.535507 -2.34077 0.0225 0.620587 33
"325" 0 13.80698 1 0 1 6 313 267 0 1.064029 2.61481 2.143643 3.411863 32
"326" 0 14.05613 0 0 1 6 296 299 0 1.064029 3.946062 4.356252 0.620587 30
"327" 0 13.10883 0 0 1 6 296 336 0 1.694322 0.583529 2.143643 3.411863 33
"330" 0 14.63381 0 0 0 6 334 316 0 -1.71029 2.61481 1.528777 0.620587 30
"331" 0 14.00411 1 0 1 6 330 307 0 1.694322 2.61481 3.027766 1.226635 31
"332" 0 13.71116 1 0 1 6 263 292 0 -1.71029 -0.372518 -0.521523 -0.890334 27
"334" 1 13.95756 0 1 0 6 273 262 0 -1.02803 NA -1.18336 -0.389125 29
"335" 1 13.16632 1 1 1 5 273 298 0 -1.02803 NA -1.18336 -0.890334 30
"336" 1 14.55441 1 0 1 6 265 267 0 1.064029 NA 1.007718 0.620587 24
"337" 0 13.3963 0 0 0 6 362 334 0 2.609382 3.946062 4.356252 3.411863 34
"338" 0 13.96851 1 0 0 5 338 328 0 -0.466456 1.724337 2.143643 3.411863 22
"340" 0 13.22656 1 1 0 5 336 362 0 0.040053 -0.878592 4.356252 3.411863 34
"342" 0 14.08624 0 1 0 6 357 392 0 1.064029 1.724337 1.528777 3.411863 36
"343" 1 13.4976 0 1 1 6 345 312 0 2.609382 1.104519 4.356252 2.096395 35
"344" 1 13.83162 0 1 1 5 326 266 0 0.535507 -0.372518 2.143643 1.226635 27
"345" 1 15.38946 0 0 0 5 325 186 0 0.535507 1.724337 2.143643 2.096395 29
"346" 1 13.13073 1 0 0 6 303 295 0 -1.02803 0.102875 0.518528 1.226635 31
"347" 1 13.95756 1 1 1 5 320 339 0 0.040053 0.102875 0.0225 -0.389125 27
"348" 1 15.27447 0 1 1 6 308.0227 314.1999 1 -1.71029 0.102875 2.143643 0.620587 29
"350" 1 14.21492 0 1 1 5 267 190 0 -0.466456 -3.65316 1.007718 2.096395 21
"351" 0 13.17728 1 0 0 6 298 313 0 0.040053 NA 0.0225 0.620587 34
"353" 0 13.16632 0 1 1 4 288 295 0 1.064029 NA 0.518528 0.10246 37
"355" 0 13.70021 1 0 1 6 295 299 0 0.040053 NA -0.521523 1.226635 29
"358" 0 14.37645 0 1 1 5 266 167 1 -2.68322 -3.65316 0.518528 -4.36156 24
"359" 0 14.47228 1 0 1 6 252 285 0 0.535507 0.583529 1.007718 2.096395 24
"360" 0 15.40041 0 0 0 6 253.9716 234.1598 0 -1.02803 NA -0.521523 -0.890334 24
"361" 0 14.92129 1 0 1 5 277 279 0 1.064029 2.61481 -1.18336 -0.890334 34
"362" 0 14.05886 1 0 0 6 248 307 0 -0.466456 0.583529 -0.521523 -0.890334 32
"363" 0 13.86448 1 0 0 6 318 301 0 1.064029 1.724337 NA 0.620587 28
"366" 0 14.16838 1 1 1 5 335 301 0 1.694322 2.61481 NA 0.620587 30
"369" 0 14.57906 0 1 0 5 295 306 0 0.535507 NA 1.528777 0.620587 25
"370" 0 13.67009 1 1 1 5 307 298 0 -1.71029 NA NA 2.096395 18
"378" 1 13.26489 0 1 0 5 328 359 0 -1.71029 -3.65316 1.528777 3.411863 35
"379" 0 13.39083 1 1 1 5 299 348 0 0.040053 0.102875 NA 0.620587 35
"380" 0 13.48118 1 0 0 6 283 333 0 0.040053 0.583529 NA 2.096395 38
"381" 1 15.67146 0 0 1 6 268 251 0 0.040053 0.102875 0.0225 -0.890334 32
"382" 1 14.28611 0 1 1 5 315 343 0 1.064029 2.61481 2.143643 0.10246 30
"383" 1 14.72142 0 0 1 6 260 277 0 1.064029 1.104519 1.007718 1.226635 36
"384" 1 13.70294 0 0 1 6 288 269 0 0.535507 1.104519 0.0225 1.226635 27
"386" 1 14.6037 0 1 1 5 310 301 0 2.609382 0.583529 1.528777 -0.890334 40
"387" 1 14.84189 1 0 1 6 287 277 1 -0.466456 0.583529 2.143643 0.10246 28
"388" 1 13.40726 0 1 1 4 286 221 0 -0.466456 0.102875 1.528777 2.096395 35
"390" 1 14.22861 0 0 1 6 289 263 1 0.040053 -3.65316 1.528777 -0.389125 40
"392" 1 14.2423 0 0 1 6 228 249 1 -2.68322 -1.47627 -1.18336 -0.389125 33
"393" 1 13.2731 0 0 1 6 273 292 1 1.064029 1.724337 1.007718 2.096395 36
"395" 0 13.85626 0 1 1 5 224 298 0 1.064029 2.61481 0.0225 -3.00693 22
"396" 0 13.67283 0 1 1 5 355 354 0 1.064029 1.724337 2.143643 2.096395 31
"397" 0 13.16632 1 1 1 5 319 229 0 -0.466456 -0.372518 1.528777 0.620587 30
"400" 0 13.70294 0 1 1 6 326 305 0 0.535507 1.724337 4.356252 0.10246 27
"401" 0 13.60986 1 1 1 5 368 315 0 2.609382 1.724337 2.143643 0.10246 30
"405" 0 14.82272 1 1 1 6 237 243 0 -1.71029 NA -1.18336 -1.43621 30
"407" 0 13.06776 0 1 1 5 283 302 0 -1.02803 NA 0.0225 -4.36156 28
"408" 0 13.78508 0 1 0 6 266 247 0 -4.07785 NA 0.518528 -0.389125 32
"409" 0 13.67009 0 0 0 6 288 305 0 -1.02803 NA 1.007718 -0.890334 34
"411" 0 13.80151 1 1 1 5 293 297 0 -1.71029 NA 0.518528 -0.890334 33
"412" 1 14.81999 0 0 0 6 286 182 1 -1.71029 -1.47627 3.027766 -2.08483 25
"413" 1 14.01232 0 1 1 5 355 296 0 0.535507 1.724337 3.027766 3.411863 40
"414" 1 13.69473 0 1 1 6 295 302 0 -1.02803 NA 0.518528 1.226635 29
"415" 1 14.03696 1 1 1 5 287 305 0 1.064029 2.61481 1.007718 1.226635 36
"416" 1 12.92813 1 1 1 5 310 303 0 -1.71029 NA 1.528777 1.226635 34
"417" 1 15.48528 0 1 1 5 255 210 0 -1.71029 NA NA -3.00693 26
"418" 1 13.46475 0 1 0 5 351 302 0 0.040053 2.61481 1.528777 -0.389125 32
"420" 0 14.02601 1 1 1 5 273 233 0 -0.466456 -2.34077 NA 2.096395 34
"421" 0 14.71321 0 1 1 5 198 296 0 1.064029 -0.878592 0.0225 -0.389125 30
"423" 0 13.24025 0 0 0 6 253 318 0 -1.02803 1.104519 0.0225 0.620587 32
"424" 0 13.69199 0 1 1 5 311 329 0 -2.68322 0.102875 1.007718 2.096395 35
"425" 0 13.52772 1 1 1 5 336 327 0 -0.466456 0.102875 NA 0.10246 37
"426" 0 15.0527 1 1 1 5 302 331 1 -0.466456 0.583529 1.528777 3.411863 37
"427" 0 14.15469 1 1 0 5 269 289 1 -1.02803 -0.878592 -0.521523 -1.43621 33
"429" 0 13.25941 1 1 0 6 323 345 0 0.535507 1.724337 0.518528 -0.389125 31
"430" 0 14.60917 0 1 0 5 308 294 1 -0.466456 0.102875 1.007718 1.226635 30
